modelo,protocolo,periodo_teste,delta_MAE,delta_RMSE,delta_R2,efeito_MAE
Gradient Boosting,Expanding,2021,0.14040551299925585,0.10522193255399648,-0.1099730556245675,Aumento do MAE
Persistência,Expanding,2021,0.0,0.0,0.0,Sem alteração
Random Forest,Expanding,2021,0.07706719566441711,-0.021812143042862164,0.021837308915625187,Aumento do MAE
Regressão Linear,Expanding,2021,0.007345613767823611,-0.14867270070321847,0.1368984118763274,Aumento do MAE
Ridge,Expanding,2021,0.07068641278271581,-0.05849174394262935,0.0545213966215945,Aumento do MAE
Gradient Boosting,Expanding,2022,-0.46735892338402985,-0.3597454774016069,0.3271029360865336,Redução do MAE
Persistência,Expanding,2022,0.0,0.0,0.0,Sem alteração
Random Forest,Expanding,2022,0.11916506662062631,0.08926098960660234,-0.0827617729568398,Aumento do MAE
Regressão Linear,Expanding,2022,0.45628006956058376,0.35645076889092486,-0.3396619343584138,Aumento do MAE
Ridge,Expanding,2022,0.40728459033627806,0.36442898681859637,-0.33226054273582784,Aumento do MAE
Gradient Boosting,Expanding,2023,-0.0019772263673618617,-0.09421146842013206,0.08903912250168411,Redução do MAE
Persistência,Expanding,2023,0.0,0.0,0.0,Sem alteração
Random Forest,Expanding,2023,0.15999040610100446,0.0030258476816218405,-0.0027953927833061012,Aumento do MAE
Regressão Linear,Expanding,2023,-0.21718806128022106,-0.3454419233725372,0.2681547379086014,Redução do MAE
Ridge,Expanding,2023,-0.2590842173569545,-0.32802349898094385,0.2584529189643494,Redução do MAE
Gradient Boosting,Rolling,2021,0.14040551299925585,0.10522193255399648,-0.1099730556245675,Aumento do MAE
Persistência,Rolling,2021,0.0,0.0,0.0,Sem alteração
Random Forest,Rolling,2021,0.07706719566441711,-0.02181214304286172,0.021837308915624742,Aumento do MAE
Regressão Linear,Rolling,2021,0.007345613767823611,-0.14867270070321847,0.1368984118763274,Aumento do MAE
Ridge,Rolling,2021,0.07068641278271581,-0.05849174394262935,0.0545213966215945,Aumento do MAE
Gradient Boosting,Rolling,2022,-0.32905974621326317,-0.287758507817645,0.2524336505548219,Redução do MAE
Persistência,Rolling,2022,0.0,0.0,0.0,Sem alteração
Random Forest,Rolling,2022,0.16758866325718214,0.06035278916823783,-0.0537767659948989,Aumento do MAE
Regressão Linear,Rolling,2022,0.45178549587866446,0.4314086491350415,-0.3850192318539215,Aumento do MAE
Ridge,Rolling,2022,0.16360054951640346,0.21729706660485615,-0.183321784416003,Aumento do MAE
Gradient Boosting,Rolling,2023,0.022088231002093117,-0.006726374302428173,0.0063265420862964016,Aumento do MAE
Persistência,Rolling,2023,0.0,0.0,0.0,Sem alteração
Random Forest,Rolling,2023,0.20217961558331332,0.1716288861263795,-0.159573072540194,Aumento do MAE
Regressão Linear,Rolling,2023,-0.0727493526601033,-0.21879374467889856,0.17437796926105448,Redução do MAE
Ridge,Rolling,2023,-0.0786595902553544,-0.1883388817814955,0.1533862116576457,Redução do MAE
