feature,importance_mean,importance_std,fold,periodo_teste,importancia_positiva
evasao_t_1,0.0015264993590910158,0.014300451391221495,1,2021,True
conclusao_t_1,-0.03153112986736466,0.03644791094364389,1,2021,False
retencao_t_1,-0.00397144572875392,0.006287280438612412,1,2021,False
permanencia_t_1,-0.0754619142270097,0.0443606641538763,1,2021,False
evasao_feminino_t_1,0.11521244229451437,0.07459946949314614,1,2021,True
evasao_masculino_t_1,-0.03105507631513702,0.016704761295208984,1,2021,False
evasao_ppi_sim_t_1,0.04339740055924346,0.014656385609676893,1,2021,True
evasao_ppi_nao_t_1,0.01771821734780519,0.014558142077534185,1,2021,True
evasao_ate_19_t_1,0.019726848241922723,0.009984598121856522,1,2021,True
evasao_20_22_t_1,0.18414585613184148,0.14018464015581306,1,2021,True
evasao_23_24_t_1,0.012403312817860845,0.036226240834483184,1,2021,True
evasao_25_29_t_1,-0.05557971111776376,0.02692874123466429,1,2021,False
evasao_30_39_t_1,0.02979015940970504,0.015781454181868933,1,2021,True
evasao_40_49_t_1,-0.14478519002180082,0.0939317718484075,1,2021,False
evasao_50_mais_t_1,0.022254534437851036,0.017544157129678408,1,2021,True
evasao_deficiencia_sim_t_1,0.056896701704048924,0.01942474731321301,1,2021,True
evasao_deficiencia_nao_t_1,-0.016562497031370894,0.02528101716643014,1,2021,False
evasao_t_1,0.0037966839927330185,0.006216432061801667,2,2022,True
conclusao_t_1,0.018891335001512844,0.020341109542649782,2,2022,True
retencao_t_1,0.019194722759071182,0.017759490834740974,2,2022,True
permanencia_t_1,0.04252067468485697,0.021919856626717388,2,2022,True
evasao_feminino_t_1,0.1442905177566134,0.05756948621242972,2,2022,True
evasao_masculino_t_1,0.006424078495711816,0.014095379686432543,2,2022,True
evasao_ppi_sim_t_1,0.011558843036499278,0.00816338814217243,2,2022,True
evasao_ppi_nao_t_1,0.07389596804887116,0.07121242562509691,2,2022,True
evasao_ate_19_t_1,0.11675683770569241,0.07216777461810663,2,2022,True
evasao_20_22_t_1,0.1380380510410923,0.08500218430359924,2,2022,True
evasao_23_24_t_1,0.028451550851024375,0.025096007729818987,2,2022,True
evasao_25_29_t_1,0.027182695789641477,0.022099979781048544,2,2022,True
evasao_30_39_t_1,-0.026809666683383783,0.03534279736200549,2,2022,False
evasao_40_49_t_1,0.011516719839741086,0.027181106768851906,2,2022,True
evasao_50_mais_t_1,0.0021016862483925203,0.030906639885898115,2,2022,True
evasao_deficiencia_sim_t_1,-0.005157497527850963,0.005160342255245848,2,2022,False
evasao_deficiencia_nao_t_1,0.029310611479657522,0.047235406841109245,2,2022,True
evasao_t_1,0.015212791685799764,0.013642012002379973,3,2023,True
conclusao_t_1,-0.00016988750382470607,0.028018191012033643,3,2023,False
retencao_t_1,0.04111350383807275,0.048513538108751836,3,2023,True
permanencia_t_1,0.1133408729456887,0.05671286301551635,3,2023,True
evasao_feminino_t_1,0.1708257957528143,0.06980153815107,3,2023,True
evasao_masculino_t_1,0.015800731099572952,0.0057268099935386665,3,2023,True
evasao_ppi_sim_t_1,0.009701250550808815,0.004714504258335548,3,2023,True
evasao_ppi_nao_t_1,-0.002081466592256065,0.009691080692917294,3,2023,False
evasao_ate_19_t_1,0.036421171866101644,0.040933524889148996,3,2023,True
evasao_20_22_t_1,-0.00031815852365142395,0.034295505054029514,3,2023,False
evasao_23_24_t_1,-0.04222522381761725,0.031427262689223044,3,2023,False
evasao_25_29_t_1,0.022919971388796236,0.024483066400747246,3,2023,True
evasao_30_39_t_1,0.0076985167416088185,0.03694377146222807,3,2023,True
evasao_40_49_t_1,-0.0008017526632240757,0.003529198502971739,3,2023,False
evasao_50_mais_t_1,0.0048818459283686225,0.004674928919756129,3,2023,True
evasao_deficiencia_sim_t_1,0.013820025623565746,0.020649998804912376,3,2023,True
evasao_deficiencia_nao_t_1,0.011091652088147951,0.016924624151671095,3,2023,True
