uf,ano_fluxo,evasao_t,previsao,erro,erro_abs,fold
Acre,2021-2022,15.2,15.229036172235594,-0.029036172235594293,0.029036172235594293,1
Alagoas,2021-2022,16.8,13.337825668073881,3.4621743319261196,3.4621743319261196,1
Amapá,2021-2022,18.0,16.4503806837259,1.5496193162741,1.5496193162741,1
Amazonas,2021-2022,16.1,14.762772382945068,1.3372276170549338,1.3372276170549338,1
Bahia,2021-2022,17.1,14.864347378816872,2.23565262118313,2.23565262118313,1
Ceará,2021-2022,14.4,14.758787374221873,-0.35878737422187257,0.35878737422187257,1
Distrito Federal,2021-2022,14.5,12.465628410161578,2.034371589838422,2.034371589838422,1
Espírito Santo,2021-2022,16.4,13.634603301149443,2.765396698850555,2.765396698850555,1
Goiás,2021-2022,18.4,15.338629330683327,3.0613706693166716,3.0613706693166716,1
Maranhão,2021-2022,13.4,17.689859347232982,-4.289859347232982,4.289859347232982,1
Mato Grosso,2021-2022,16.7,14.582834368894181,2.1171656311058182,2.1171656311058182,1
Mato Grosso do Sul,2021-2022,18.2,15.599346405330396,2.6006535946696037,2.6006535946696037,1
Minas Gerais,2021-2022,13.6,12.423864012835372,1.1761359871646277,1.1761359871646277,1
Paraná,2021-2022,14.4,14.538234264423483,-0.13823426442348286,0.13823426442348286,1
Paraíba,2021-2022,15.2,13.608916957866152,1.5910830421338478,1.5910830421338478,1
Pará,2021-2022,17.9,15.264384545704296,2.635615454295703,2.635615454295703,1
Pernambuco,2021-2022,16.0,14.433958793156767,1.5660412068432326,1.5660412068432326,1
Piauí,2021-2022,12.0,15.654011605576047,-3.6540116055760468,3.6540116055760468,1
Rio Grande do Norte,2021-2022,13.8,13.016338350708127,0.783661649291874,0.783661649291874,1
Rio Grande do Sul,2021-2022,15.2,11.765627740247263,3.4343722597527364,3.4343722597527364,1
Rio de Janeiro,2021-2022,12.8,12.421086898404903,0.3789131015950975,0.3789131015950975,1
Rondônia,2021-2022,21.5,15.514257658985985,5.985742341014015,5.985742341014015,1
Roraima,2021-2022,19.4,15.845574963423996,3.554425036576003,3.554425036576003,1
Santa Catarina,2021-2022,18.7,15.305926282540598,3.394073717459401,3.394073717459401,1
Sergipe,2021-2022,17.6,12.96562528963234,4.634374710367661,4.634374710367661,1
São Paulo,2021-2022,17.8,14.48342349896454,3.3165765010354615,3.3165765010354615,1
Tocantins,2021-2022,12.6,14.048649934915483,-1.4486499349154833,1.4486499349154833,1
Acre,2022-2023,17.6,17.91738461352039,-0.3173846135203888,0.3173846135203888,2
Alagoas,2022-2023,15.7,18.034739180101912,-2.334739180101913,2.334739180101913,2
Amapá,2022-2023,18.5,17.973721895365916,0.5262781046340841,0.5262781046340841,2
Amazonas,2022-2023,17.3,17.556362709105876,-0.25636270910587555,0.25636270910587555,2
Bahia,2022-2023,17.3,16.398829232887568,0.9011707671124327,0.9011707671124327,2
Ceará,2022-2023,15.8,16.628537817826576,-0.8285378178265752,0.8285378178265752,2
Distrito Federal,2022-2023,14.7,13.867753567245622,0.8322464327543777,0.8322464327543777,2
Espírito Santo,2022-2023,15.9,16.63335157619114,-0.7333515761911382,0.7333515761911382,2
Goiás,2022-2023,17.1,17.19586394076704,-0.09586394076703897,0.09586394076703897,2
