modelo,protocolo,fold,periodo_teste,mae,rmse,r2,n_treino,n_teste
Gradient Boosting,Expanding,1,2021,2.2126769231620207,2.6563290345629857,-0.3611762879490963,108.0,27
Persistência,Expanding,1,2021,2.511111111111111,2.7827511034412877,-0.49382376290023866,,27
Random Forest,Expanding,1,2021,2.1717257022469996,2.6058032188330102,-0.3098871110715715,108.0,27
Regressão Linear,Expanding,1,2021,1.9897012603075965,2.4609743291572386,-0.16832804947181845,108.0,27
Ridge,Expanding,1,2021,1.9932444354975958,2.4452171671624225,-0.15341477085288835,108.0,27
Gradient Boosting,Rolling,1,2021,2.2126769231620207,2.6563290345629857,-0.3611762879490963,108.0,27
Persistência,Rolling,1,2021,2.511111111111111,2.7827511034412877,-0.49382376290023866,,27
Random Forest,Rolling,1,2021,2.171725702247,2.6058032188330102,-0.3098871110715715,108.0,27
Regressão Linear,Rolling,1,2021,1.9897012603075965,2.4609743291572386,-0.16832804947181845,108.0,27
Ridge,Rolling,1,2021,1.9932444354975958,2.4452171671624225,-0.15341477085288835,108.0,27
Gradient Boosting,Expanding,2,2022,1.7492607363909622,2.383779438235036,-0.17219006864846031,135.0,27
Persistência,Expanding,2,2022,1.5555555555555554,2.3175657727691594,-0.10797518930604788,,27
Random Forest,Expanding,2,2022,1.5149083415555646,2.202727161722907,-0.0008922188748774484,135.0,27
Regressão Linear,Expanding,2,2022,1.2027748764748292,2.131452565559233,0.06283244898132156,135.0,27
Ridge,Expanding,2,2022,1.1638395071395897,2.027671972077019,0.15187220749336416,135.0,27
Gradient Boosting,Rolling,2,2022,1.6385265617528768,2.2701726025100535,-0.06312334529579289,108.0,27
Persistência,Rolling,2,2022,1.5555555555555554,2.3175657727691594,-0.10797518930604788,,27
Random Forest,Rolling,2,2022,1.4263646225174,2.1295634533482173,0.0644929411089189,108.0,27
Regressão Linear,Rolling,2,2022,1.24860634841563,1.9475006895693832,0.2176138767129282,108.0,27
Ridge,Rolling,2,2022,1.3046546810990804,1.93621494241046,0.22665544232456725,108.0,27
Gradient Boosting,Expanding,3,2023,1.6727725518812215,2.149010102322912,-0.03827181338951591,162.0,27
Persistência,Expanding,3,2023,1.8851851851851853,2.44880923443756,-0.34816813668044166,,27
Random Forest,Expanding,3,2023,1.5084783185042963,2.0531076461450177,0.052329000229905165,162.0,27
Regressão Linear,Expanding,3,2023,1.5749689118756873,1.89914027594582,0.1891355914243006,162.0,27
Ridge,Expanding,3,2023,1.5899142222941107,1.9163273966481713,0.17439261893411573,162.0,27
Gradient Boosting,Rolling,3,2023,1.6753228550226658,2.0951683232971803,0.0131026365111232,108.0,27
Persistência,Rolling,3,2023,1.8851851851851853,2.44880923443756,-0.34816813668044166,,27
Random Forest,Rolling,3,2023,1.543442319854359,1.9819691154718302,0.11686333561192463,108.0,27
Regressão Linear,Rolling,3,2023,1.5581293993375014,1.8819226866042054,0.20377152414691135,108.0,27
Ridge,Rolling,3,2023,1.5662148512231737,1.9054352460455102,0.18375123214702327,108.0,27
