modelo,protocolo,fold,periodo_teste,mae,rmse,r2,n_treino,n_teste
Gradient Boosting,Expanding,1,2021,2.3530824361612765,2.7615509671169822,-0.4711493435736638,108.0,27
Persistência,Expanding,1,2021,2.511111111111111,2.7827511034412877,-0.49382376290023866,,27
Random Forest,Expanding,1,2021,2.2487928979114162,2.5839910757901476,-0.2880498021559459,108.0,27
Regressão Linear,Expanding,1,2021,1.9970468740754201,2.3123016284540197,-0.031429637595491,108.0,27
Ridge,Expanding,1,2021,2.063930848280312,2.386725423219793,-0.09889337423129385,108.0,27
Gradient Boosting,Rolling,1,2021,2.3530824361612765,2.7615509671169822,-0.4711493435736638,108.0,27
Persistência,Rolling,1,2021,2.511111111111111,2.7827511034412877,-0.49382376290023866,,27
Random Forest,Rolling,1,2021,2.2487928979114167,2.5839910757901476,-0.2880498021559459,108.0,27
Regressão Linear,Rolling,1,2021,1.9970468740754201,2.3123016284540197,-0.031429637595491,108.0,27
Ridge,Rolling,1,2021,2.063930848280312,2.386725423219793,-0.09889337423129385,108.0,27
Gradient Boosting,Expanding,2,2022,1.2819018130069324,2.024033960833429,0.1549128674380733,135.0,27
Persistência,Expanding,2,2022,1.5555555555555554,2.3175657727691594,-0.10797518930604788,,27
Random Forest,Expanding,2,2022,1.6340734081761905,2.2919881513295097,-0.08365399183171762,135.0,27
Regressão Linear,Expanding,2,2022,1.659054946035413,2.487903334450158,-0.2768294853770923,135.0,27
Ridge,Expanding,2,2022,1.5711240974758676,2.3921009588956155,-0.18038833524246378,135.0,27
Gradient Boosting,Rolling,2,2022,1.3094668155396136,1.9824140946924076,0.18931030525902914,108.0,27
Persistência,Rolling,2,2022,1.5555555555555554,2.3175657727691594,-0.10797518930604788,,27
Random Forest,Rolling,2,2022,1.593953285774582,2.189916242516456,0.010716175114019122,108.0,27
Regressão Linear,Rolling,2,2022,1.7003918442942945,2.3789093387044247,-0.1674053551409933,108.0,27
Ridge,Rolling,2,2022,1.4682552306154841,2.1535120090153157,0.04333365790856425,108.0,27
Gradient Boosting,Expanding,3,2023,1.6707953255138595,2.05479863390278,0.0507673091121682,162.0,27
Persistência,Expanding,3,2023,1.8851851851851853,2.44880923443756,-0.34816813668044166,,27
Random Forest,Expanding,3,2023,1.6684687246053,2.056133493826639,0.04953360744659996,162.0,27
Regressão Linear,Expanding,3,2023,1.357780850595466,1.5536983525732828,0.45729032933290203,162.0,27
Ridge,Expanding,3,2023,1.3308300049371562,1.5883038976672277,0.43284553789846514,162.0,27
Gradient Boosting,Rolling,3,2023,1.6974110860247589,2.088441948994752,0.01942917859741966,108.0,27
Persistência,Rolling,3,2023,1.8851851851851853,2.44880923443756,-0.34816813668044166,,27
Random Forest,Rolling,3,2023,1.745621935437671,2.153598001598209,-0.04270973692826896,108.0,27
Regressão Linear,Rolling,3,2023,1.485380046677398,1.6631289419253066,0.3781494934079658,108.0,27
Ridge,Rolling,3,2023,1.487555260967819,1.7170963642640147,0.3371374438046689,108.0,27
