modelo,protocolo,MAE_A,MAE_B,delta_MAE,RMSE_A,RMSE_B,delta_RMSE,R2_A,R2_B,delta_R2,folds_mae_melhor,folds_rmse_melhor,folds_r2_melhor,total_folds
Persistência,Expanding,1.984,1.984,0.0,2.524,2.524,0.0,-0.2399,-0.2399,0.0,0,0,0,3
Persistência,Rolling,1.984,1.984,0.0,2.524,2.524,0.0,-0.2399,-0.2399,0.0,0,0,0,3
Regressão Linear,Expanding,1.5891,1.6713,0.0822,2.1761,2.1564,-0.0197,0.0783,0.0949,0.0166,1,2,2,3
Regressão Linear,Rolling,1.5988,1.7276,0.1288,2.1127,2.1426,0.0299,0.1312,0.1065,-0.0247,1,2,2,3
Ridge,Expanding,1.5823,1.6553,0.073,2.1419,2.1557,0.0138,0.1071,0.0955,-0.0116,1,2,2,3
Ridge,Rolling,1.6214,1.6732,0.0518,2.1102,2.1042,-0.006,0.1333,0.1383,0.005,1,2,2,3
Random Forest,Expanding,1.7317,1.8504,0.1187,2.2991,2.3208,0.0217,-0.0288,-0.0483,-0.0195,0,1,1,3
Random Forest,Rolling,1.7138,1.8628,0.149,2.2549,2.3174,0.0625,0.0104,-0.0452,-0.0556,0,1,1,3
Gradient Boosting,Expanding,1.8782,1.7686,-0.1096,2.4053,2.3054,-0.0999,-0.1261,-0.0345,0.0916,2,2,2,3
Gradient Boosting,Rolling,1.8422,1.7867,-0.0555,2.3523,2.3035,-0.0488,-0.077,-0.0327,0.0443,1,2,2,3
